订单号,原材料号,到达时间(s),消耗占比,列坐标,层坐标,货架号,巷道号,单程时间(s),总运输时间(s),开始时刻(s),完成时刻(s),流动时间(s)
1900,B6T0000001029,277980.0,0.0451,5,27,3,2,100.00000000000001,206.00000000000003,278286.0,278392.0,412.0
1896,B6T0000001029,277980.0,0.0451,5,27,4,2,100.00000000000001,206.00000000000003,278492.0,278598.0,618.0
1895,B6T0000001029,277980.0,0.0451,5,27,4,2,100.00000000000001,206.00000000000003,278698.0,278804.0,824.0
2549,B6T0000001449,281940.0,0.027,17,7,4,2,47.0,100.0,281987.0,282040.0,100.0
2548,B6T0000001449,281940.0,0.027,17,7,4,2,47.0,100.0,282087.0,282140.0,200.0
2569,B6T0000001793,282840.0,0.0268,19,4,3,2,45.0,96.0,282885.0,282936.0,96.0
3442,B6T0000001707,283500.0,0.0127,43,7,3,2,98.99999999999999,203.99999999999997,283599.0,283704.0,204.0
3443,B6T0000001707,283500.0,0.0127,43,7,3,2,98.99999999999999,203.99999999999997,283803.0,283908.0,408.0
3224,B6T0000001460,286680.0,0.0157,36,5,3,2,81.0,168.0,286761.0,286848.0,168.0
3225,B6T0000001460,286680.0,0.0157,36,5,3,2,81.0,168.0,286929.0,287016.0,336.0
3223,B6T0000001460,286680.0,0.0157,36,5,4,2,81.0,168.0,287097.0,287184.0,504.0
1089,B6T0000001415,287640.0,0.1031,3,7,3,2,19.0,44.0,287659.0,287684.0,44.0
1090,B6T0000001415,287640.0,0.1031,3,7,3,2,19.0,44.0,287703.0,287728.0,88.0
1099,B6T0000001415,287640.0,0.1031,3,7,4,2,19.0,44.0,287747.0,287772.0,132.0
1098,B6T0000001415,287640.0,0.1031,3,7,4,2,19.0,44.0,287791.0,287816.0,176.0
3648,B6T0000001606,294780.0,0.011,53,5,3,2,115.00000000000001,236.00000000000003,294895.0,295016.0,236.0
3649,B6T0000001606,294780.0,0.011,53,5,3,2,115.00000000000001,236.00000000000003,295131.0,295252.0,472.0
1363,B6T0000000150,295080.0,0.0758,1,49,3,2,186.50000000000009,379.00000000000017,295438.5,295631.0,551.0
1364,B6T0000000150,295080.0,0.0758,1,49,3,2,186.50000000000009,379.00000000000017,295817.5,296010.0,930.0
1365,B6T0000000150,295080.0,0.0758,1,49,4,2,186.50000000000009,379.00000000000017,296196.5,296389.0,1309.0
1366,B6T0000000150,295080.0,0.0758,1,49,4,2,186.50000000000009,379.00000000000017,296575.5,296768.0,1688.0
2922,B6T0000000210,297420.0,0.0201,24,43,3,2,202.50000000000009,411.00000000000017,297622.5,297831.0,411.0
3517,B6T0000000866,299940.0,0.0119,49,15,3,2,140.0,286.0,300080.0,300226.0,286.0
3516,B6T0000000866,299940.0,0.0119,49,15,3,2,140.0,286.0,300366.0,300512.0,572.0
1214,B6T0000000577,301800.0,0.0912,1,23,3,2,76.00000000000001,158.00000000000003,301876.0,301958.0,158.0
1219,B6T0000000577,301800.0,0.0912,1,23,3,2,76.00000000000001,158.00000000000003,302034.0,302116.0,316.0
333,B6T0000000139,301980.0,0.2024,1,45,3,2,166.50000000000009,339.00000000000017,302282.5,302455.0,475.0
348,B6T0000000139,301980.0,0.2024,1,45,3,2,166.50000000000009,339.00000000000017,302621.5,302794.0,814.0
347,B6T0000000139,301980.0,0.2024,1,45,4,2,166.50000000000009,339.00000000000017,302960.5,303133.0,1153.0
330,B6T0000000139,301980.0,0.2024,1,45,4,2,166.50000000000009,339.00000000000017,303299.5,303472.0,1492.0
1220,B6T0000000577,301800.0,0.0912,1,23,4,2,76.00000000000001,158.00000000000003,303548.0,303630.0,1830.0
1224,B6T0000000577,301800.0,0.0912,1,23,4,2,76.00000000000001,158.00000000000003,303706.0,303788.0,1988.0
803,B6T0000000540,305220.0,0.1348,1,19,3,2,60.00000000000001,126.00000000000001,305280.0,305346.0,126.0
809,B6T0000000540,305220.0,0.1348,1,19,3,2,60.00000000000001,126.00000000000001,305406.0,305472.0,252.0
807,B6T0000000540,305220.0,0.1348,1,19,4,2,60.00000000000001,126.00000000000001,305532.0,305598.0,378.0
1164,B6T0000000245,307800.0,0.0931,5,45,3,2,174.50000000000009,355.00000000000017,307974.5,308155.0,355.0
1155,B6T0000000245,307800.0,0.0931,5,45,3,2,174.50000000000009,355.00000000000017,308329.5,308510.0,710.0
1167,B6T0000000245,307800.0,0.0931,5,45,4,2,174.50000000000009,355.00000000000017,308684.5,308865.0,1065.0
1163,B6T0000000245,307800.0,0.0931,5,45,4,2,174.50000000000009,355.00000000000017,309039.5,309220.0,1420.0
2983,B6T0000001539,309480.0,0.0193,29,3,3,2,63.00000000000001,132.0,309543.0,309612.0,132.0
2984,B6T0000001539,309480.0,0.0193,29,3,3,2,63.00000000000001,132.0,309675.0,309744.0,264.0
503,B6T0000001101,309720.0,0.1876,6,13,3,2,46.0,98.0,309790.0,309842.0,122.0
507,B6T0000001101,309720.0,0.1876,6,13,3,2,46.0,98.0,309888.0,309940.0,220.0
505,B6T0000001101,309720.0,0.1876,6,13,4,2,46.0,98.0,309986.0,310038.0,318.0
515,B6T0000001101,309720.0,0.1876,6,13,4,2,46.0,98.0,310084.0,310136.0,416.0
2985,B6T0000001539,309480.0,0.0193,29,3,4,2,63.00000000000001,132.0,310199.0,310268.0,788.0
249,B6T0000000581,311400.0,0.27,9,9,3,2,36.0,78.0,311436.0,311478.0,78.0
250,B6T0000000581,311400.0,0.27,9,9,3,2,36.0,78.0,311514.0,311556.0,156.0
236,B6T0000000581,311400.0,0.27,9,9,4,2,36.0,78.0,311592.0,311634.0,234.0
241,B6T0000000581,311400.0,0.27,9,9,4,2,36.0,78.0,311670.0,311712.0,312.0
255,B6T0000000581,311400.0,0.27,8,10,3,2,38.0,82.0,311750.0,311794.0,394.0
229,B6T0000000581,311400.0,0.27,8,10,3,2,38.0,82.0,311832.0,311876.0,476.0
242,B6T0000000581,311400.0,0.27,8,10,4,2,38.0,82.0,311914.0,311958.0,558.0
3642,B6T0000001391,312660.0,0.011,54,3,3,2,113.0,232.0,312773.0,312892.0,232.0
3643,B6T0000001391,312660.0,0.011,54,3,3,2,113.0,232.0,313005.0,313124.0,464.0
2137,B6T0000001633,313320.0,0.0388,12,4,3,2,31.000000000000004,68.0,313351.0,313388.0,68.0
2134,B6T0000001633,313320.0,0.0388,12,4,3,2,31.000000000000004,68.0,313419.0,313456.0,136.0
2138,B6T0000001633,313320.0,0.0388,12,4,4,2,31.000000000000004,68.0,313487.0,313524.0,204.0
2135,B6T0000001633,313320.0,0.0388,12,4,4,2,31.000000000000004,68.0,313555.0,313592.0,272.0
3123,B6T0000001982,315300.0,0.0172,32,5,3,2,73.0,152.0,315373.0,315452.0,152.0
2651,B6T0000001682,345480.0,0.0243,20,7,3,2,53.0,112.0,345533.0,345592.0,112.0
2650,B6T0000001682,345480.0,0.0243,20,7,3,2,53.0,112.0,345645.0,345704.0,224.0
129,B6T0000000154,345600.0,0.3556,3,43,3,2,160.50000000000009,327.00000000000017,345864.5,346031.0,431.0
128,B6T0000000154,345600.0,0.3556,3,43,3,2,160.50000000000009,327.00000000000017,346191.5,346358.0,758.0
127,B6T0000000154,345600.0,0.3556,3,43,4,2,160.50000000000009,327.00000000000017,346518.5,346685.0,1085.0
142,B6T0000000154,345600.0,0.3556,3,43,4,2,160.50000000000009,327.00000000000017,346845.5,347012.0,1412.0
752,B6T0000000843,345900.0,0.1548,4,16,3,2,53.99999999999999,113.99999999999999,347066.0,347126.0,1226.0
981,B6T0000001844,345960.0,0.1128,6,1,3,2,13.000000000000002,32.0,347139.0,347158.0,1198.0
980,B6T0000001844,345960.0,0.1128,6,1,3,2,13.000000000000002,32.0,347171.0,347190.0,1230.0
979,B6T0000001844,345960.0,0.1128,6,1,4,2,13.000000000000002,32.0,347203.0,347222.0,1262.0
978,B6T0000001844,345960.0,0.1128,6,1,4,2,13.000000000000002,32.0,347235.0,347254.0,1294.0
1995,B6T0000000186,345840.0,0.0427,5,49,3,2,194.50000000000009,395.00000000000017,347448.5,347649.0,1809.0
271,B6T0000000305,347340.0,0.2304,2,44,3,2,163.50000000000009,333.00000000000017,347812.5,347982.0,642.0
270,B6T0000000305,347340.0,0.2304,2,44,4,2,163.50000000000009,333.00000000000017,348145.5,348315.0,975.0
269,B6T0000000305,347340.0,0.2304,2,44,4,2,163.50000000000009,333.00000000000017,348478.5,348648.0,1308.0
1996,B6T0000000186,345840.0,0.0427,5,49,3,2,194.50000000000009,395.00000000000017,348842.5,349043.0,3203.0
3738,B6T0000000137,347640.0,0.0285,14,46,3,2,197.50000000000009,401.00000000000017,349240.5,349444.0,1804.0
2635,B6T0000001335,346200.0,0.0248,20,6,4,2,51.0,108.0,349495.0,349552.0,3352.0
2632,B6T0000001335,346200.0,0.0248,20,6,4,2,51.0,108.0,349603.0,349660.0,3460.0
2649,B6T0000001682,345480.0,0.0243,20,7,4,2,53.0,112.0,349713.0,349772.0,4292.0
2648,B6T0000001682,345480.0,0.0243,20,7,4,2,53.0,112.0,349825.0,349884.0,4404.0
2739,B6T0000001280,345480.0,0.0231,33,11,4,2,92.0,190.0,349976.0,350074.0,4594.0
2738,B6T0000001280,345480.0,0.0231,33,11,4,2,92.0,190.0,350166.0,350264.0,4784.0
2817,B6T0000000976,347880.0,0.022,5,39,4,2,148.00000000000006,302.0000000000001,350412.0,350566.0,2686.0
2819,B6T0000000976,347880.0,0.022,5,39,4,2,148.00000000000006,302.0000000000001,350714.0,350868.0,2988.0
2834,B6T0000001965,350460.0,0.0217,26,3,3,2,57.0,120.0,350925.0,350988.0,528.0
2835,B6T0000001965,350460.0,0.0217,26,3,3,2,57.0,120.0,351045.0,351108.0,648.0
3057,B6T0000000985,350820.0,0.0183,27,22,3,2,124.00000000000001,254.00000000000003,351232.0,351362.0,542.0
3104,B6T0000000740,347460.0,0.0174,12,38,3,2,158.00000000000006,322.0000000000001,351520.0,351684.0,4224.0
3226,B6T0000001769,348060.0,0.0157,35,7,3,2,83.0,172.0,351767.0,351856.0,3796.0
3228,B6T0000001769,348060.0,0.0157,35,7,3,2,83.0,172.0,351939.0,352028.0,3968.0
3227,B6T0000001769,348060.0,0.0157,35,7,4,2,83.0,172.0,352111.0,352200.0,4140.0
3285,B6T0000001287,347520.0,0.0148,43,13,4,2,119.99999999999999,245.99999999999997,352320.0,352446.0,4926.0
3284,B6T0000001287,347520.0,0.0148,43,13,4,2,119.99999999999999,245.99999999999997,352566.0,352692.0,5172.0
3603,B6T0000001116,346200.0,0.0112,47,20,4,2,156.0,318.0,352848.0,353010.0,6810.0
3602,B6T0000001116,346200.0,0.0112,47,20,4,2,156.0,318.0,353166.0,353328.0,7128.0
3641,B6T0000001338,346980.0,0.011,51,8,4,2,117.0,240.0,353445.0,353568.0,6588.0
3640,B6T0000001338,346980.0,0.011,51,8,4,2,117.0,240.0,353685.0,353808.0,6828.0
2512,B6T0000001586,358920.0,0.0279,16,7,3,2,45.0,96.0,358965.0,359016.0,96.0
932,B6T0000000508,368640.0,0.1252,2,19,3,2,62.00000000000001,130.0,368702.0,368770.0,130.0
929,B6T0000000508,368640.0,0.1252,2,19,3,2,62.00000000000001,130.0,368832.0,368900.0,260.0
928,B6T0000000508,368640.0,0.1252,2,19,4,2,62.00000000000001,130.0,368962.0,369030.0,390.0
927,B6T0000000508,368640.0,0.1252,2,19,4,2,62.00000000000001,130.0,369092.0,369160.0,520.0
3667,B6T0000001940,369180.0,0.0109,52,8,3,2,119.0,244.0,369299.0,369424.0,244.0
3666,B6T0000001940,369180.0,0.0109,52,8,3,2,119.0,244.0,369543.0,369668.0,488.0
311,B6T0000001196,376320.0,0.2132,4,14,3,2,45.99999999999999,97.99999999999999,376366.0,376418.0,98.0
313,B6T0000001196,376320.0,0.2132,4,14,3,2,45.99999999999999,97.99999999999999,376464.0,376516.0,196.0
312,B6T0000001196,376320.0,0.2132,4,14,4,2,45.99999999999999,97.99999999999999,376562.0,376614.0,294.0
919,B6T0000000411,378000.0,0.1258,6,15,3,2,53.99999999999999,113.99999999999999,378054.0,378114.0,114.0
918,B6T0000000411,378000.0,0.1258,6,15,4,2,53.99999999999999,113.99999999999999,378168.0,378228.0,228.0
913,B6T0000000411,378000.0,0.1258,6,15,4,2,53.99999999999999,113.99999999999999,378282.0,378342.0,342.0
3247,B6T0000001491,378180.0,0.0153,37,5,4,2,83.0,172.0,378425.0,378514.0,334.0
3246,B6T0000001491,378180.0,0.0153,37,5,4,2,83.0,172.0,378597.0,378686.0,506.0
3720,B6T0000000563,381780.0,0.0105,45,26,4,2,176.0,358.0,381956.0,382138.0,358.0
3721,B6T0000000563,381780.0,0.0105,45,26,4,2,176.0,358.0,382314.0,382496.0,716.0
2117,B6T0000001146,385500.0,0.0392,23,12,3,2,76.0,158.0,385576.0,385658.0,158.0
2118,B6T0000001146,385500.0,0.0392,23,12,3,2,76.0,158.0,385734.0,385816.0,316.0
2119,B6T0000001146,385500.0,0.0392,23,12,4,2,76.0,158.0,385892.0,385974.0,474.0
2900,B6T0000000255,391680.0,0.0204,16,49,3,2,216.50000000000009,439.00000000000017,391896.5,392119.0,439.0
2441,B6T0000001304,398760.0,0.029,19,20,4,2,100.0,206.0,398860.0,398966.0,206.0
2442,B6T0000001304,398760.0,0.029,19,20,4,2,100.0,206.0,399066.0,399172.0,412.0
597,B6T0000000247,400140.0,0.1761,2,45,3,2,168.50000000000009,343.00000000000017,400308.5,400483.0,343.0
596,B6T0000000247,400140.0,0.1761,2,45,3,2,168.50000000000009,343.00000000000017,400651.5,400826.0,686.0
595,B6T0000000247,400140.0,0.1761,2,45,4,2,168.50000000000009,343.00000000000017,400994.5,401169.0,1029.0
1,B6T0000001209,401940.0,1.3573,1,10,3,2,24.0,54.0,401964.0,401994.0,54.0
3,B6T0000001209,401940.0,1.3573,1,10,3,2,24.0,54.0,402018.0,402048.0,108.0
8,B6T0000001209,401940.0,1.3573,1,10,4,2,24.0,54.0,402072.0,402102.0,162.0
7,B6T0000001209,401940.0,1.3573,1,10,4,2,24.0,54.0,402126.0,402156.0,216.0
3681,B6T0000000285,402360.0,0.0107,37,50,4,2,263.5000000000001,533.0000000000002,402623.5,402893.0,533.0
3680,B6T0000000285,402360.0,0.0107,37,50,4,2,263.5000000000001,533.0000000000002,403156.5,403426.0,1066.0
1798,B6T0000001271,431580.0,0.0533,22,9,3,2,62.0,130.0,431642.0,431710.0,130.0
1797,B6T0000001271,431580.0,0.0533,22,9,3,2,62.0,130.0,431772.0,431840.0,260.0
966,B6T0000000445,431760.0,0.1202,9,13,3,2,52.0,110.0,431892.0,431950.0,190.0
965,B6T0000000445,431760.0,0.1202,9,13,3,2,52.0,110.0,432002.0,432060.0,300.0
1803,B6T0000001271,431580.0,0.0533,22,9,4,2,62.0,130.0,432122.0,432190.0,610.0
1804,B6T0000001271,431580.0,0.0533,22,9,4,2,62.0,130.0,432252.0,432320.0,740.0
3486,B6T0000001445,432240.0,0.0122,48,2,4,2,99.00000000000001,204.00000000000003,432419.0,432524.0,284.0
3487,B6T0000001445,432240.0,0.0122,48,2,4,2,99.00000000000001,204.00000000000003,432623.0,432728.0,488.0
392,B6T0000000471,432780.0,0.1917,1,17,4,2,52.0,110.0,432832.0,432890.0,110.0
627,B6T0000000469,433740.0,0.1623,11,9,3,2,40.0,86.0,433780.0,433826.0,86.0
628,B6T0000000469,433740.0,0.1623,11,9,3,2,40.0,86.0,433866.0,433912.0,172.0
623,B6T0000000469,433740.0,0.1623,11,9,4,2,40.0,86.0,433952.0,433998.0,258.0
624,B6T0000000469,433740.0,0.1623,11,9,4,2,40.0,86.0,434038.0,434084.0,344.0
22,B6T0000001209,434040.0,1.3573,3,9,3,2,23.999999999999996,53.99999999999999,434108.0,434138.0,98.0
1454,B6T0000000191,433980.0,0.0689,3,48,3,2,185.50000000000009,377.00000000000017,434323.5,434515.0,535.0
1455,B6T0000000191,433980.0,0.0689,3,48,3,2,185.50000000000009,377.00000000000017,434700.5,434892.0,912.0
1451,B6T0000000191,433980.0,0.0689,3,48,4,2,185.50000000000009,377.00000000000017,435077.5,435269.0,1289.0
92,B6T0000000261,435000.0,0.4826,2,43,3,2,158.50000000000009,323.00000000000017,435427.5,435592.0,592.0
84,B6T0000000261,435000.0,0.4826,2,43,3,2,158.50000000000009,323.00000000000017,435750.5,435915.0,915.0
93,B6T0000000261,435000.0,0.4826,2,43,4,2,158.50000000000009,323.00000000000017,436073.5,436238.0,1238.0
85,B6T0000000261,435000.0,0.4826,2,43,4,2,158.50000000000009,323.00000000000017,436396.5,436561.0,1561.0
1443,B6T0000000191,433980.0,0.0689,3,48,4,2,185.50000000000009,377.00000000000017,436746.5,436938.0,2958.0
2425,B6T0000000890,434700.0,0.0301,30,9,3,2,78.0,162.0,437016.0,437100.0,2400.0
2426,B6T0000000890,434700.0,0.0301,30,9,3,2,78.0,162.0,437178.0,437262.0,2562.0
2428,B6T0000000890,434700.0,0.0301,30,9,4,2,78.0,162.0,437340.0,437424.0,2724.0
1175,B6T0000001838,437280.0,0.0928,3,8,3,2,21.0,48.0,437445.0,437472.0,192.0
1169,B6T0000001838,437280.0,0.0928,3,8,3,2,21.0,48.0,437493.0,437520.0,240.0
1173,B6T0000001838,437280.0,0.0928,3,8,4,2,21.0,48.0,437541.0,437568.0,288.0
1172,B6T0000001838,437280.0,0.0928,3,8,4,2,21.0,48.0,437589.0,437616.0,336.0
2429,B6T0000000890,434700.0,0.0301,30,9,4,2,78.0,162.0,437694.0,437778.0,3078.0
3341,B6T0000000110,433860.0,0.0138,28,48,4,2,235.50000000000009,477.00000000000017,438013.5,438255.0,4395.0
3340,B6T0000000110,433860.0,0.0138,28,48,4,2,235.50000000000009,477.00000000000017,438490.5,438732.0,4872.0
3426,B6T0000000542,434640.0,0.0128,43,18,4,2,140.0,286.0,438872.0,439018.0,4378.0
3427,B6T0000000542,434640.0,0.0128,43,18,4,2,140.0,286.0,439158.0,439304.0,4664.0
1261,B6T0000000615,443580.0,0.0857,5,20,3,2,72.0,150.0,443652.0,443730.0,150.0
1114,B6T0000001301,443640.0,0.1026,15,9,3,2,48.0,102.0,443778.0,443832.0,192.0
1115,B6T0000001301,443640.0,0.1026,15,9,3,2,48.0,102.0,443880.0,443934.0,294.0
1113,B6T0000001301,443640.0,0.1026,15,9,4,2,48.0,102.0,443982.0,444036.0,396.0
1112,B6T0000001301,443640.0,0.1026,15,9,4,2,48.0,102.0,444084.0,444138.0,498.0
1262,B6T0000000615,443580.0,0.0857,5,20,3,2,72.0,150.0,444210.0,444288.0,708.0
1263,B6T0000000615,443580.0,0.0857,5,20,4,2,72.0,150.0,444360.0,444438.0,858.0
1264,B6T0000000615,443580.0,0.0857,5,20,4,2,72.0,150.0,444510.0,444588.0,1008.0
1546,B6T0000000198,444780.0,0.0637,8,45,3,2,180.50000000000009,367.00000000000017,444960.5,445147.0,367.0
1545,B6T0000000198,444780.0,0.0637,8,45,3,2,180.50000000000009,367.00000000000017,445327.5,445514.0,734.0
1544,B6T0000000198,444780.0,0.0637,8,45,4,2,180.50000000000009,367.00000000000017,445694.5,445881.0,1101.0
1547,B6T0000000198,444780.0,0.0637,8,45,4,2,180.50000000000009,367.00000000000017,446061.5,446248.0,1468.0
1121,B6T0000001955,447180.0,0.0986,5,4,4,2,17.0,40.0,447197.0,447220.0,40.0
1125,B6T0000001955,447180.0,0.0986,5,4,4,2,17.0,40.0,447237.0,447260.0,80.0
1589,B6T0000001157,447600.0,0.0609,2,26,3,2,90.00000000000001,186.00000000000003,447690.0,447786.0,186.0
1596,B6T0000001157,447600.0,0.0609,2,26,3,2,90.00000000000001,186.00000000000003,447876.0,447972.0,372.0
1595,B6T0000001157,447600.0,0.0609,2,26,4,2,90.00000000000001,186.00000000000003,448062.0,448158.0,558.0
1594,B6T0000001157,447600.0,0.0609,2,26,4,2,90.00000000000001,186.00000000000003,448248.0,448344.0,744.0
1323,B6T0000001360,454380.0,0.0787,7,2,4,2,17.0,40.0,454397.0,454420.0,40.0
1324,B6T0000001360,454380.0,0.0787,7,2,4,2,17.0,40.0,454437.0,454460.0,80.0
3567,B6T0000001252,454680.0,0.0115,44,22,4,2,158.0,322.0,454838.0,455002.0,322.0
3566,B6T0000001252,454680.0,0.0115,44,22,4,2,158.0,322.0,455160.0,455324.0,644.0
2846,B6T0000001506,455040.0,0.0213,26,4,3,2,59.0,124.0,455383.0,455448.0,408.0
2847,B6T0000001506,455040.0,0.0213,26,4,3,2,59.0,124.0,455507.0,455572.0,532.0
2845,B6T0000001506,455040.0,0.0213,26,4,4,2,59.0,124.0,455631.0,455696.0,656.0
2844,B6T0000001506,455040.0,0.0213,26,4,4,2,59.0,124.0,455755.0,455820.0,780.0
1622,B6T0000001671,456180.0,0.0597,6,6,3,2,23.0,52.0,456203.0,456232.0,52.0
1631,B6T0000001671,456180.0,0.0597,6,6,3,2,23.0,52.0,456255.0,456284.0,104.0
1624,B6T0000001671,456180.0,0.0597,6,6,4,2,23.0,52.0,456307.0,456336.0,156.0
2718,B6T0000000756,459900.0,0.0232,11,32,4,2,132.00000000000003,270.00000000000006,460032.0,460170.0,270.0
2716,B6T0000000756,459900.0,0.0232,11,32,4,2,132.00000000000003,270.00000000000006,460302.0,460440.0,540.0
1207,B6T0000001639,462840.0,0.0917,6,3,3,2,17.0,40.0,462857.0,462880.0,40.0
1206,B6T0000001639,462840.0,0.0917,6,3,3,2,17.0,40.0,462897.0,462920.0,80.0
1194,B6T0000001639,462840.0,0.0917,6,3,4,2,17.0,40.0,462937.0,462960.0,120.0
1196,B6T0000001639,462840.0,0.0917,6,3,4,2,17.0,40.0,462977.0,463000.0,160.0
3174,B6T0000001957,463080.0,0.0163,33,8,3,2,81.0,168.0,463161.0,463248.0,168.0
3173,B6T0000001957,463080.0,0.0163,33,8,3,2,81.0,168.0,463329.0,463416.0,336.0
3172,B6T0000001957,463080.0,0.0163,33,8,4,2,81.0,168.0,463497.0,463584.0,504.0
3626,B6T0000001289,463800.0,0.0111,46,22,4,2,162.0,330.0,463962.0,464130.0,330.0
3627,B6T0000001289,463800.0,0.0111,46,22,4,2,162.0,330.0,464292.0,464460.0,660.0
540,B6T0000001197,466620.0,0.1865,4,15,3,2,49.99999999999999,105.99999999999999,466670.0,466726.0,106.0
541,B6T0000001197,466620.0,0.1865,4,15,3,2,49.99999999999999,105.99999999999999,466776.0,466832.0,212.0
542,B6T0000001197,466620.0,0.1865,4,15,4,2,49.99999999999999,105.99999999999999,466882.0,466938.0,318.0
539,B6T0000001197,466620.0,0.1865,4,15,4,2,49.99999999999999,105.99999999999999,466988.0,467044.0,424.0
3480,B6T0000000867,467640.0,0.0122,50,13,4,2,134.0,274.0,467774.0,467914.0,274.0
3481,B6T0000000867,467640.0,0.0122,50,13,4,2,134.0,274.0,468048.0,468188.0,548.0
1433,B6T0000000745,470460.0,0.0703,12,15,3,2,66.0,138.0,470526.0,470598.0,138.0
3585,B6T0000000883,472740.0,0.0113,58,9,3,2,134.0,274.0,472874.0,473014.0,274.0
3584,B6T0000000883,472740.0,0.0113,58,9,3,2,134.0,274.0,473148.0,473288.0,548.0
3625,B6T0000001135,473640.0,0.0111,47,21,3,2,160.0,326.0,473800.0,473966.0,326.0
3624,B6T0000001135,473640.0,0.0111,47,21,3,2,160.0,326.0,474126.0,474292.0,652.0
1902,B6T0000001740,479760.0,0.0448,10,4,3,2,27.0,60.0,479787.0,479820.0,60.0
1901,B6T0000001740,479760.0,0.0448,10,4,3,2,27.0,60.0,479847.0,479880.0,120.0
1903,B6T0000001740,479760.0,0.0448,10,4,4,2,27.0,60.0,479907.0,479940.0,180.0
1907,B6T0000001740,479760.0,0.0448,10,4,4,2,27.0,60.0,479967.0,480000.0,240.0
1764,B6T0000001236,482340.0,0.0547,7,23,3,2,88.00000000000001,182.00000000000003,482428.0,482522.0,182.0
1766,B6T0000001236,482340.0,0.0547,7,23,3,2,88.00000000000001,182.00000000000003,482610.0,482704.0,364.0
3231,B6T0000000963,482700.0,0.0156,38,16,3,2,122.0,250.0,482826.0,482954.0,254.0
961,B6T0000000445,485700.0,0.1202,9,13,4,2,52.0,110.0,485752.0,485810.0,110.0
959,B6T0000000445,485700.0,0.1202,9,13,4,2,52.0,110.0,485862.0,485920.0,220.0
1699,B6T0000001342,485760.0,0.056,8,4,3,2,23.0,52.0,485943.0,485972.0,212.0
1700,B6T0000001342,485760.0,0.056,8,4,3,2,23.0,52.0,485995.0,486024.0,264.0
1702,B6T0000001342,485760.0,0.056,8,4,4,2,23.0,52.0,486047.0,486076.0,316.0
1703,B6T0000001342,485760.0,0.056,8,4,4,2,23.0,52.0,486099.0,486128.0,368.0
2082,B6T0000001673,487620.0,0.0406,10,6,3,2,31.0,68.0,487651.0,487688.0,68.0
2078,B6T0000001673,487620.0,0.0406,10,6,3,2,31.0,68.0,487719.0,487756.0,136.0
2081,B6T0000001673,487620.0,0.0406,10,6,4,2,31.0,68.0,487787.0,487824.0,204.0
2083,B6T0000001673,487620.0,0.0406,10,6,4,2,31.0,68.0,487855.0,487892.0,272.0
1863,B6T0000000725,518280.0,0.0481,19,13,3,2,72.0,150.0,518352.0,518430.0,150.0
1861,B6T0000000725,518280.0,0.0481,19,13,3,2,72.0,150.0,518502.0,518580.0,300.0
1860,B6T0000000725,518280.0,0.0481,19,13,4,2,72.0,150.0,518652.0,518730.0,450.0
1865,B6T0000000725,518280.0,0.0481,19,13,4,2,72.0,150.0,518802.0,518880.0,600.0
2147,B6T0000001327,518400.0,0.038,10,8,4,2,35.0,76.0,518915.0,518956.0,556.0
2144,B6T0000001327,518400.0,0.038,10,8,4,2,35.0,76.0,518991.0,519032.0,632.0
2625,B6T0000000212,518700.0,0.0249,11,50,3,2,211.50000000000009,429.00000000000017,519243.5,519461.0,761.0
2350,B6T0000000217,519420.0,0.0325,7,50,3,2,203.50000000000009,413.00000000000017,519664.5,519874.0,454.0
2354,B6T0000000217,519420.0,0.0325,7,50,3,2,203.50000000000009,413.00000000000017,520077.5,520287.0,867.0
2627,B6T0000000212,518700.0,0.0249,11,50,3,2,211.50000000000009,429.00000000000017,520498.5,520716.0,2016.0
781,B6T0000001996,520380.0,0.1414,2,7,3,2,17.0,40.0,520733.0,520756.0,376.0
782,B6T0000001996,520380.0,0.1414,2,7,3,2,17.0,40.0,520773.0,520796.0,416.0
783,B6T0000001996,520380.0,0.1414,2,7,4,2,17.0,40.0,520813.0,520836.0,456.0
785,B6T0000001996,520380.0,0.1414,2,7,4,2,17.0,40.0,520853.0,520876.0,496.0
850,B6T0000001220,520740.0,0.1275,11,10,3,2,44.0,94.0,520920.0,520970.0,230.0
847,B6T0000001220,520740.0,0.1275,11,10,3,2,44.0,94.0,521014.0,521064.0,324.0
848,B6T0000001220,520740.0,0.1275,11,10,4,2,44.0,94.0,521108.0,521158.0,418.0
846,B6T0000001220,520740.0,0.1275,11,10,4,2,44.0,94.0,521202.0,521252.0,512.0
3693,B6T0000001780,519600.0,0.0107,57,1,4,2,115.0,236.0,521367.0,521488.0,1888.0
601,B6T0000000247,521280.0,0.1761,2,45,4,2,168.50000000000009,343.00000000000017,521656.5,521831.0,551.0
3692,B6T0000001780,519600.0,0.0107,57,1,4,2,115.0,236.0,521946.0,522067.0,2467.0
3439,B6T0000001323,527820.0,0.0127,45,4,4,2,97.0,200.0,527917.0,528020.0,200.0
3438,B6T0000001323,527820.0,0.0127,45,4,4,2,97.0,200.0,528117.0,528220.0,400.0
3134,B6T0000000635,529080.0,0.017,24,27,4,2,138.00000000000003,282.00000000000006,529218.0,529362.0,282.0
3135,B6T0000000635,529080.0,0.017,24,27,4,2,138.00000000000003,282.00000000000006,529500.0,529644.0,564.0
1926,B6T0000001140,531960.0,0.0442,23,10,3,2,68.0,142.0,532028.0,532102.0,142.0
